"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 02/15/26"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""12708.2""","""@38199 / Hoyt Sherman Place""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","734.18","0.00","","","0.00","734.18","-734.18","","","1141.40","35.68","03/10/26","4295","HOYT SHERMAN PLACE","","0.00","0.00","0.00","","","10.000",""
"""12708.3""","""@38201 / Hoyt Sherman Place""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","150.00","100.00","03/10/26","4295","HOYT SHERMAN PLACE","","0.00","0.00","0.00","","","0.000",""
"""12712.1""","""@40637 / CAT #1400""","1","1","10137.03","0.00","0.00","","","0.00","10137.03","0.00","0.00","0.00","","","0.00","0.00","10137.03","17942.00","43.50","17942.00","100.00","02/03/26","18600","CAT SCALE","C","0.00","0.00","10137.03","02/11/26","12712","0.000",""
"""12713.1""","""@40576 / Infinity Neuromotor D""","1","0","1257.03","18.75","18.28","","","0.00","1294.06","58.00","1124.00","0.00","","1500.00","0.00","2682.00","-1387.94","","","4353.57","38.40","02/09/26","6417","INFINITY NEUROMOTOR DEVELOPMENT CENTER","","0.00","0.00","1294.06","","","10.500","0.750"
"""12713.2""","""@40583 / Infinity Neuromotor D""","1","0","79.32","6.25","6.09","","","0.00","91.66","3.48","25.17","0.00","","59.43","0.00","88.08","3.58","","","144.20","38.92","02/09/26","6417","INFINITY NEUROMOTOR DEVELOPMENT CENTER","","0.00","0.00","91.66","","","0.340","0.250"
"""12713.3""","""@40584 / Infinity Neuromotor D""","1","0","52.50","18.75","18.28","","","0.00","89.53","3.48","25.17","0.00","","59.43","0.00","88.08","1.45","","","144.20","38.92","02/09/26","6417","INFINITY NEUROMOTOR DEVELOPMENT CENTER","","0.00","0.00","89.53","","","0.340","0.750"
"""12713.4""","""@40598 / Infinity Neuromotor D""","1","0","52.50","6.25","6.09","","","0.00","64.84","3.48","25.17","0.00","","59.43","0.00","88.08","-23.24","","","144.20","38.92","02/09/26","6417","INFINITY NEUROMOTOR DEVELOPMENT CENTER","","0.00","0.00","64.84","","","0.340","0.250"
"""12713.5""","""@40599 / Infinity Neuromotor D""","1","0","52.50","6.25","6.09","","","0.00","64.84","3.48","25.17","0.00","","59.43","0.00","88.08","-23.24","","","144.20","38.92","02/09/26","6417","INFINITY NEUROMOTOR DEVELOPMENT CENTER","","0.00","0.00","64.84","","","0.340","0.250"
"""12713.6""","""@40606 / Infinity Neuromotor D""","1","0","52.49","6.25","6.09","","","0.00","64.83","3.48","25.17","0.00","","59.43","0.00","88.08","-23.25","","","144.20","38.92","02/09/26","6417","INFINITY NEUROMOTOR DEVELOPMENT CENTER","","0.00","0.00","64.83","","","0.340","0.250"
"""12714.1""","""@40617 / Equity Bank""","1","1","0.00","53.76","112.07","","","0.00","165.83","43.50","629.38","0.00","","","0.00","672.88","-507.05","1121.94","85.22","1121.94","40.03","01/20/26","6104","LUMINEO SIGNS.","C","0.00","0.00","165.83","02/06/26","12714","8.500","2.500"
