"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 12/31/16"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""65484""","""221-0300 5'-4 1/2"" X 20' STAND""","1","","920.12","156.76","145.79","","","0.00","1222.67","943.33","308.80","0.00","","","0.00","1252.13","-29.46","","","0.00","","12/29/16","","","C","0.00","0.00","1222.67","","","8.000","11.000"
"""65485""","""221-0300 5'-4 1/2"" X 20' STAND""","1","","0.00","57.76","53.72","","","0.00","111.48","943.33","308.80","0.00","","","0.00","1252.13","-1140.65","","","0.00","","12/29/16","","","C","0.00","0.00","111.48","","","8.000","9.000"
"""6964.2""","""@19768 / GRIMES INDUSTRIAL PAR""","8","","17450.46","6299.13","6564.68","","23171.00","0.00","53485.27","26361.89","31867.69","0.00","","11648.00","0.00","69877.58","-16392.31","91677.36","41.66","101863.68","31.40","12/31/15","2449","HUBBELL CONSTRUCTION SERVICES","C","0.00","0.00","53485.27","05/31/16","6964","718.000","395.000"
"""6964.3""","""@21589 / GRIMES INDUSTRIAL PAR""","1","","33.17","79.52","73.95","","","0.00","186.64","36.89","286.12","0.00","","","0.00","323.01","-136.37","536.67","65.22","536.67","39.81","06/03/16","2449","HUBBELL CONSTRUCTION SERVICES","C","0.00","0.00","186.64","06/27/17","6964-3","7.500","4.250"
"""7280.1""","""@21231 / CAT SCALE #1432""","1","","3846.83","837.34","778.75","","","0.00","5462.92","0.00","0.00","0.00","","","0.00","0.00","5462.92","9424.15","42.03","9461.00","100.00","04/25/16","18600","CAT SCALE","C","0.00","0.00","5462.92","09/21/18","7280","0.000","88.750"
"""7412.2""","""@21893 / FAIRWAY OUTDOOR ADVER""","1","","3775.00","0.00","0.00","","0.00","0.00","3775.00","389.76","14713.76","0.00","","12705.00","0.00","27808.52","-24033.52","37298.27","89.88","37298.27","25.44","12/29/16","4788","FAIRWAY OUTDOOR ADVERTISING","C","0.00","0.00","3775.00","02/15/17","7412","184.000","224.750"
"""7412.4""","""@tm / FAIRWAY OUTDOOR ADVERTIS""","1","","0.00","32.76","59.95","","285.00","0.00","377.71","0.00","0.00","0.00","","","0.00","0.00","377.71","0.00","","0.00","","11/10/16","4788","FAIRWAY OUTDOOR ADVERTISING","C","0.00","0.00","377.71","02/15/17","7412","0.000","2.000"
"""7423.1""","""@17428A / HILTON GARDEN INN""","1","","632.53","17.88","16.63","","0.00","0.00","667.04","2605.48","5181.85","0.00","","6682.38","0.00","14469.71","-13802.67","20225.12","96.70","20225.12","28.46","05/31/16","4855","HILTON GARDEN INN - 68TH ST. PROPERTIES, LLC","C","0.00","0.00","667.04","05/19/17","7423","113.000","102.750"
"""7454.4""","""@21241A / WELLMAN´S PUB""","1","","0.00","23.13","21.51","","2977.55","0.00","3022.19","177.24","1483.25","0.00","","4122.00","0.00","5782.49","-2760.30","7713.97","60.82","7713.97","25.04","09/01/16","2856","WELLMAN'S PUB & ROOFTOP","C","0.00","0.00","3022.19","05/25/17","7454","19.000","16.250"
"""7454.6""","""@21953 / WELLMAN´S PUB""","1","","0.00","18.50","17.21","","2021.13","0.00","2056.84","64.92","719.65","0.00","","2079.00","0.00","2863.57","-806.73","3919.92","47.53","3919.92","26.95","09/15/16","2856","WELLMAN'S PUB & ROOFTOP","C","0.00","0.00","2056.84","05/25/17","7454","10.000","12.750"
"""7518.1""","""@tm / EAGLE SIGN CO.""","1","","0.00","695.02","646.44","","","25.23","1366.69","0.00","0.00","0.00","","","0.00","0.00","1366.69","0.00","","0.00","","07/29/16","4779","EAGLE SIGN CO.","C","0.00","0.00","1366.69","06/14/17","7518","0.000","40.000"
"""7518.2""","""@tm / EAGLE SIGN CO.""","1","","0.00","85.00","79.07","","","3.90","167.97","0.00","0.00","0.00","","","0.00","0.00","167.97","0.00","","0.00","","07/29/16","4779","EAGLE SIGN CO.","C","0.00","0.00","167.97","06/14/17","7518","0.000","5.250"
"""7528.3""","""@21585 / LENS CRAFTERS""","1","","0.00","221.07","410.71","","","0.00","631.78","52.20","1164.00","0.00","","","0.00","1216.20","-584.42","1621.89","61.05","1621.89","25.01","08/31/16","3671","TRIANGLE SIGN AND SERVICE","C","0.00","0.00","631.78","10/11/17","7528","11.000","26.000"
"""7650.1""","""@22127 / MAGNOLIA WINE KITCHEN""","1","","0.00","0.00","0.00","","280.00","0.00","280.00","713.82","2207.85","0.00","","27.00","0.00","2948.67","-2668.67","4683.97","94.02","4683.97","37.05","10/24/16","4930","MAGNOLIA WINE KITCHEN","C","0.00","0.00","280.00","01/31/17","7650","51.000","47.750"
"""7716.1""","""@22113 / RE/MAX""","1","1","453.69","673.54","895.14","20.59","1229.00","0.00","3271.96","622.48","1655.00","0.00","","1292.50","0.00","3569.98","-298.02","5649.64","42.09","5649.64","36.81","11/17/16","4964","RE/MAX","C","0.00","0.00","3271.96","12/29/16","7716","35.750","36.250"
"""7723.1""","""@21290A / FAIRWAY OUTDOOR ADVE""","1","","12787.00","546.20","931.65","0.00","2175.00","0.00","16439.85","389.76","18309.55","0.00","","30690.00","0.00","49389.31","-32949.46","65576.31","74.93","65576.31","24.68","12/31/16","4787","FAIRWAY OUTDOOR ADVERTISING","C","0.00","0.00","16439.85","01/31/17","7723","227.000","317.750"
"""7723.2""","""@21906 / FAIRWAY OUTDOOR ADVER""","1","","0.00","104.38","193.14","","","0.00","297.52","0.00","0.00","0.00","","8250.00","0.00","8250.00","-7952.48","10312.50","97.11","10312.50","20.00","12/31/16","4787","FAIRWAY OUTDOOR ADVERTISING","C","0.00","0.00","297.52","01/31/17","7723","0.000","5.500"
"""7723.3""","""@tm / FAIRWAY OUTDOOR ADVERTIS""","1","","0.00","10.50","19.53","","","0.00","30.03","0.00","0.00","0.00","","","0.00","0.00","30.03","0.00","","0.00","","11/08/16","4787","FAIRWAY OUTDOOR ADVERTISING","C","0.00","0.00","30.03","01/31/17","7723","0.000","0.750"
"""7736.1""","""@22308 / SELLERS HARDWARE""","1","","0.00","98.25","181.78","","","0.00","280.03","268.10","1187.12","0.00","","143.64","0.00","1598.86","-1318.83","2493.17","88.77","2493.17","35.87","11/23/16","4967","MARY ANN MCCOY- SELLERS HARDWARE","C","0.00","0.00","280.03","01/20/17","7736","23.750","24.000"
"""7736.2""","""@22392 / SELLERS HARDWARE""","1","","0.00","41.25","38.36","","","0.00","79.61","258.80","1187.12","0.00","","127.68","0.00","1573.60","-1493.99","2206.46","96.39","2206.46","28.68","11/23/16","4967","MARY ANN MCCOY- SELLERS HARDWARE","C","0.00","0.00","79.61","01/20/17","7736","23.750","14.500"
"""7752.1""","""@tm / EAGLE SIGN CO.""","1","","4.36","27.82","25.87","","","0.26","58.31","0.00","0.00","0.00","","","0.00","0.00","58.31","0.00","","0.00","","11/11/16","4779","EAGLE SIGN CO.","C","0.00","0.00","58.31","06/09/17","7752","0.000","1.500"
"""7766.1""","""@21309 / GIT N GO #23""","1","","0.00","134.14","124.75","","","0.00","258.89","155.38","292.59","0.00","","24793.00","0.00","25240.97","-24982.08","25920.76","99.00","25920.76","2.62","12/15/16","49300","GIT N GO CONVENIENCE STORES","C","0.00","0.00","258.89","02/23/17","7766","8.000","188.250"
"""7766.3""","""@22558 / GIT N GO #23""","1","","1884.11","896.47","833.74","","","0.00","3614.32","2243.00","2269.10","0.00","","5924.96","0.00","10437.06","-6822.74","14722.96","75.45","14722.96","29.11","03/30/17","49300","GIT N GO CONVENIENCE STORES","C","0.00","0.00","3614.32","03/07/17","7766-2","47.250","66.000"
"""7771.1""","""@22203A / MERCY CLINIC""","1","","0.00","26.25","24.41","","","0.00","50.66","157.96","1014.63","0.00","","1513.15","0.00","2685.74","-2635.08","","","4013.69","33.09","04/30/17","2460","DOWNING INC.","C","0.00","0.00","50.66","","","17.000","1.500"
"""7775.1""","""@22450 / CROSSROADS BEHAVIORAL""","1","","281.32","113.37","199.59","","0.00","0.00","594.28","15.06","1363.60","0.00","","661.97","0.00","2040.63","-1446.35","3049.82","80.51","3049.82","33.09","12/20/16","4980","CROSSROADS BEHAVIORAL SERVICES","C","0.00","0.00","594.28","01/27/17","7775","27.000","39.000"
"""7786.1""","""@22064 / IOWA SAVINGS BANK""","1","","-31.99","90.51","84.18","","","0.00","142.70","732.94","1190.85","0.00","","1158.00","0.00","3081.79","-2939.09","4655.86","96.94","4655.86","33.81","01/10/17","58600","IOWA SAVINGS BANK","C","0.00","0.00","142.70","01/26/17","7786","24.500","27.250"
"""7786.2""","""@22267 / IOWA SAVINGS BANK""","1","","309.38","96.38","89.64","","","0.00","495.40","125.55","517.45","0.00","","722.00","0.00","1365.00","-869.60","2139.87","76.85","2139.87","36.21","01/10/17","58600","IOWA SAVINGS BANK","C","0.00","0.00","495.40","01/26/17","7786","11.000","18.250"
"""7787.1""","""@22503 / HUBBELL DESIGN""","1","1","579.69","1480.33","1519.05","","","0.00","3579.07","939.61","3376.05","0.00","","","0.00","4315.66","-736.59","6551.32","45.37","6551.32","34.13","12/23/16","4985","HUBBELL HOMES","C","0.00","0.00","3579.07","12/31/16","7787","70.000","85.250"
"""7790.1""","""@21303 / TACO JOHN´S""","1","","330.11","301.96","320.99","9.86","","0.00","962.92","423.61","573.52","0.00","","","0.00","997.13","-34.21","1685.00","42.85","1685.00","40.82","12/15/16","110100","TACO JOHN'S OF IOWA","C","0.00","0.00","962.92","02/21/17","7790","13.500","28.250"
"""7795.1""","""@22502 / HUBBELL DESIGN""","1","","26.15","237.29","416.49","","258.51","0.00","938.44","242.54","701.75","0.00","","4812.80","0.00","5757.09","-4818.65","7838.03","88.03","7838.03","26.55","12/30/16","4985","HUBBELL HOMES","C","0.00","0.00","938.44","01/26/17","7795","14.500","17.000"
"""7799.3""","""@22634 / SMOOTHIE KING""","1","","0.00","23.75","22.09","","","0.00","45.84","20.30","490.15","0.00","","2249.29","0.00","2759.74","-2713.90","3529.59","98.70","3529.59","21.81","01/10/17","4873","SMOOTHIE KING","C","0.00","0.00","45.84","01/20/17","7799","6.500","8.750"
"""7800.1""","""@tm / HY VEE- HYVEE CONSTRUCTI""","1","","49.20","0.00","0.00","","1485.00","0.00","1534.20","0.00","0.00","0.00","","","0.00","0.00","1534.20","0.00","","0.00","","12/09/16","3654","HY VEE CONSTRUCTION","C","0.00","0.00","1534.20","01/12/17","7800","0.000",""
