"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/24 - 12/31/24"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""11359.4""","""@35985 / MINI - BLAIR IMAGE EL""","1","1","0.00","138.00","256.68","","","0.00","394.68","15.66","565.38","0.00","","","0.00","581.04","-186.36","973.74","59.47","973.74","40.33","05/31/24","2883","BLAIR IMAGE ELEMENTS","F","0.00","0.00","0.00","05/29/24","11359","6.000","5.750"
"""11359.5""","""@35986 / MINI - BLAIR IMAGE EL""","1","1","98.44","168.00","312.48","","","0.00","578.92","8.70","565.38","0.00","","","0.00","574.08","4.84","961.14","39.77","961.14","40.27","05/31/24","2883","BLAIR IMAGE ELEMENTS","F","0.00","0.00","0.00","05/29/24","11359","6.000","7.000"
"""11359.6""","""@35987 / MINI - BLAIR IMAGE EL""","1","1","0.00","12.00","22.32","","","0.00","34.32","2.90","112.75","0.00","","","0.00","115.65","-81.33","192.70","82.19","192.70","39.98","05/31/24","2883","BLAIR IMAGE ELEMENTS","F","0.00","0.00","0.00","05/29/24","11359","1.250","0.500"
"""11391.1""","""@tm / EAGLE SIGN CO.""","1","1","32.22","164.13","152.64","","","0.00","348.99","0.00","0.00","0.00","","","0.00","0.00","348.99","0.00","","0.00","","07/31/24","4779","EAGLE SIGN CO.","F","0.00","0.00","0.00","07/30/24","11391","0.000","7.500"
"""11404.1""","""@36127 / BALDON HARDWARE""","1","1","1023.41","95.50","160.64","","","0.00","1279.55","31.32","540.23","0.00","","1045.91","0.00","1617.46","-337.91","2481.92","48.45","2481.92","34.83","04/30/24","6146","BALDON HARDWARE","F","0.00","0.00","0.00","04/30/24","11404","7.500","4.000"
"""11404.2""","""@36128 / BALDON HARDWARE""","1","1","1023.42","71.75","127.39","","","0.00","1222.56","31.32","540.23","0.00","","1045.91","0.00","1617.46","-394.90","2481.92","50.74","2481.92","34.83","04/30/24","6146","BALDON HARDWARE","F","0.00","0.00","0.00","04/30/24","11404","7.500","3.000"
"""11425.1""","""@35725 / RIALTO""","1","1","2852.11","404.50","723.61","","","0.00","3980.22","14.50","913.08","0.00","","2819.59","0.00","3747.17","233.05","5687.33","30.02","5687.33","34.11","01/11/24","2449","HUBBELL CONSTRUCTION SERVICES","F","0.00","0.00","0.00","01/03/24","11425","12.000","20.500"
"""11425.2""","""@36287 / RIALTO""","1","1","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","","165.00","100.00","01/11/24","2449","HUBBELL CONSTRUCTION SERVICES","F","0.00","0.00","0.00","01/03/24","11425","0.000",""
"""11428.1""","""@35956 / CITY OF DES MOINES""","1","1","4995.27","1088.04","1626.42","","4000.00","0.00","11709.73","193.58","2059.67","0.00","","8007.91","0.00","10261.16","1448.57","14230.45","17.71","14230.45","27.89","09/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","09/25/24","11428","43.000","51.500"
"""11428.10""","""@signpickup / CITY OF DES MOIN""","1","1","0.00","36.75","68.36","","","0.00","105.11","0.00","0.00","0.00","","","0.00","0.00","105.11","0.00","","0.00","","09/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","09/25/24","11428","0.000","1.750"
"""11428.11""","""@37072 / CITY OF DES MOINES""","1","1","776.59","1392.61","1639.25","62.96","","0.00","3871.41","293.34","2428.65","0.00","","722.80","0.00","3444.79","426.62","4652.66","16.79","5725.01","39.83","09/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","09/25/24","11428","54.000","65.000"
"""11428.2""","""@35957 / CITY OF DES MOINES""","1","1","4426.37","591.02","800.28","","4000.00","0.00","9817.67","193.58","1972.82","0.00","","7954.32","0.00","10120.72","-303.05","14006.78","29.91","14006.78","27.74","09/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","09/25/24","11428","41.000","27.750"
"""11428.3""","""@35958 / CITY OF DES MOINES""","2","2","8388.15","974.24","1303.31","","8300.00","0.00","18965.70","387.17","4119.31","0.00","","15579.54","0.00","20086.02","-1120.32","27899.56","32.02","27899.56","28.01","09/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","09/25/24","11428","86.000","46.000"
"""11428.4""","""@35959 / CITY OF DES MOINES""","1","1","4237.00","595.53","693.31","","4000.00","0.00","9525.84","193.58","2059.67","0.00","","7639.57","0.00","9892.82","-366.98","13747.93","30.71","13747.93","28.04","09/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","09/25/24","11428","43.000","27.750"
"""11428.5""","""@35960 / CITY OF DES MOINES""","1","1","4772.60","671.22","921.57","","4000.00","0.00","10365.39","193.58","2059.67","0.00","","7616.17","0.00","9869.42","495.97","13717.27","24.44","13717.27","28.05","09/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","09/25/24","11428","43.000","32.500"
"""11428.6""","""@35961 / CITY OF DES MOINES""","1","1","466.46","410.52","649.98","","4250.00","0.00","5776.96","31.53","564.38","0.00","","4450.00","0.00","5045.91","731.05","6348.45","9.00","6348.45","20.52","09/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","09/25/24","11428","7.000","19.250"
"""11428.7""","""@35962 / CITY OF DES MOINES""","1","1","0.00","406.59","669.27","","4250.00","0.00","5325.86","31.53","564.38","0.00","","4450.00","0.00","5045.91","279.95","6348.45","16.11","6348.45","20.52","09/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","09/25/24","11428","7.000","19.500"
"""11428.8""","""@35963 / CITY OF DES MOINES""","1","1","3773.96","780.59","964.56","","4250.00","0.00","9769.11","834.40","1748.12","0.00","","6306.28","0.00","8888.80","880.31","12221.59","20.07","12221.59","27.27","09/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","09/25/24","11428","33.500","36.000"
"""11428.9""","""@35964 / CITY OF DES MOINES""","1","1","21.36","0.00","0.00","","4250.00","0.00","4271.36","31.53","564.38","0.00","","4450.00","0.00","5045.91","-774.55","6348.45","32.72","6348.45","20.52","09/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","09/25/24","11428","7.000",""
