"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/08 - 12/31/08"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act ","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est ","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""1282.10""","""@1604 / TACO JOHNÇS""","1","1","42.60","0.00","0.00","","","","0.00","42.60","42.60","59.01","0.00","","","","0.00","101.61","-59.01","100.00","57.40","100.00","-1.61","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","03/19/08","1282","1.390",""
"""1282.11""","""@1605 / TACO JOHNÇS""","1","1","27.23","38.57","34.72","","","","0.00","100.52","5.26","127.35","0.00","","","","0.00","132.61","-32.09","110.00","8.62","147.94","10.36","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","03/19/08","1282","3.000","3.750"
"""1282.12""","""@1606 / TACO JOHNÇS""","1","1","0.00","0.00","0.00","","3039.93","","0.00","3039.93","0.00","0.00","0.00","","","","0.00","0.00","3039.93","2201.09","-38.11","2201.09","100.00","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","03/19/08","1282","0.000",""
"""1282.13""","""@1608 / TACO JOHNÇS""","1","1","1593.47","756.25","1361.25","","","","0.00","3710.97","0.00","3916.80","0.00","","250.00","","0.00","4166.80","-455.83","4946.00","24.97","4946.00","15.75","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","03/19/08","1282","36.000","44.750"
"""1282.14""","""@1961 / TACO JOHNÇS""","1","1","0.00","0.00","0.00","","","","0.00","0.00","15.75","84.90","0.00","","","","0.00","100.65","-100.65","200.00","100.00","119.26","15.60","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","03/19/08","1282","2.000",""
"""1282.15""","""@SERVICE / TACO JOHNÇS""","1","0","0.00","0.00","0.00","","350.00","","0.00","350.00","0.00","0.00","0.00","","","","0.00","0.00","350.00","","","0.00","","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","","","0.000",""
"""1282.16""","""@INSTALL / TACO JOHNÇS""","1","0","0.00","0.00","0.00","","715.00","","0.00","715.00","0.00","0.00","0.00","","","","0.00","0.00","715.00","","","0.00","","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","","","0.000",""
"""1282.2""","""@1596 / TACO JOHNÇS""","1","1","1078.40","333.11","299.81","","","","0.00","1711.32","632.42","488.18","0.00","","","","0.00","1120.60","590.72","2100.00","18.51","2100.00","46.64","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","03/19/08","1282","11.500","27.500"
"""1282.3""","""@1597 / TACO JOHNÇS""","1","1","284.73","154.87","139.40","","","","0.00","579.00","14.68","241.56","0.00","","","","0.00","256.24","322.76","730.00","20.68","730.00","64.90","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","03/19/08","1282","5.690","13.250"
"""1282.4""","""@1598 / TACO JOHNÇS""","1","1","411.78","186.64","167.99","","","","0.00","766.41","456.55","615.53","0.00","","","","0.00","1072.08","-305.67","1350.00","43.23","1350.00","20.59","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","03/19/08","1282","14.500","14.500"
"""1282.5""","""@1599 / TACO JOHNÇS""","1","1","397.69","107.14","96.43","","","","0.00","601.26","456.55","615.53","0.00","","","","0.00","1072.08","-470.82","1350.00","55.46","1350.00","20.59","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","03/19/08","1282","14.500","9.500"
"""1282.6""","""@1600 / TACO JOHNÇS""","1","1","780.26","366.63","329.97","","","","0.00","1476.86","611.89","596.00","0.00","","","","0.00","1207.89","268.97","1880.00","21.44","1880.00","35.75","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","03/19/08","1282","16.000","33.250"
