"15 FEB 2026","18:21:18","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 01/01/17 through 12/31/17",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",
"7518","06/14/17","MISC","4779","EAGLE SIGN CO.","0.00","233.01","-233.01","","","HOUSE","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"7518","06/14/17","MISC","4779","EAGLE SIGN CO.","0.00","1461.80","-1461.80","","","HOUSE","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"7752","06/09/17","MISC","4779","EAGLE SIGN CO.","0.00","58.31","-58.31","","","HOUSE","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"7752","06/09/17","MISC","4779","EAGLE SIGN CO.","0.00","1760.66","-1760.66","","","HOUSE","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"7827","01/05/17","MISC","77950","NAGLE SIGNS  INC.","272.30","184.97","87.33","32.07","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7827","01/05/17","MISC","77950","NAGLE SIGNS  INC.","272.30","184.97","87.33","32.07","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7827","01/05/17","MISC","77950","NAGLE SIGNS  INC.","272.30","175.80","96.50","35.44","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7828","01/05/17","MISC","77950","NAGLE SIGNS  INC.","272.30","166.63","105.67","38.81","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"7836","01/05/17","MISC","77950","NAGLE SIGNS  INC.","540.00","450.45","89.55","16.58","","HOUSE","","","","","","55","MILLS FLEET FARM","ANKENY","IA",
"7849","01/27/17","MISC","77950","NAGLE SIGNS  INC.","310.75","280.71","30.04","9.67","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
