Code,Description,Account,Rate,S/U,"Jur
State","Jur
Type",Tax Cap,"Taxable
Amt Cap",,Assoc Tax,"Total 
Rate"
IA20,IA 20 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA20S,IA 20 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA21,21 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA21S,21 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA22,22 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA22S,22 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA23,23 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA23S,23 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA24,24 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA24S,24 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
XX,IA25,25 SCHOOL TAX,2140,1.0000,S,IA,Local,,,,IA,6.0000
IA25O7,IA25 Option 7%,2140,1.0000,S,IA,Local,,,,IA6,7.0000
IA25OP,25 Option Tax 6%,2140,0.0000,S,IA,Local,,,,IA6,6.0000
IA26,26 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA26S,26 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA27,27 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA27S,27 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA28,28 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA28S,28 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA29,29 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA29S,29 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA30,IA 30 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA30S,IA 30 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA31,31 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA31S,31 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA32,32 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA32S,32 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA33,33 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA33S,33 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA34,34 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA34S,34 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA35,35 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA35S,35 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA36,36 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA36S,36 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA37,37 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA37S,37 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA38,38 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA38S,38 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA39,39 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA39S,39 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA40,40 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA40S,40 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA41,41 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA41S,41 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA42,42 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA42S,42 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA43,43 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA43S,43 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA44,44 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA44S,44 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA45,45 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA45S,45 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
