"15 FEB 2026","18:17:49","","","GROSS MARGIN BY INVOICE",
"","","","","PERIOD: 01/01/25 through 12/31/25",

"Invoice No","Inv Date","Prod Code","WO / Part ","Quote","Gross Sales","Total Cost","Gross Margin","GM %","Extra Chg","Sales Tax","Quote Cost","Quote Price","Quote GM%","Quote Sell Price","Quote Sell GM%","Cust No","Customer Name","SalesPer #1","Rate #1","SalesPer #2","Rate #2","SalesPer #3","Rate #3","Location No","Location Name","City","State",
"11827-2","","","Invoice Totals","","60692.58","37786.75","22905.83","37.74","0.00","0.00","35787.49","60691.19","41.03","2211.00","-1518.61","6079","THE WALDINGER CORP.","JOEP","","","","","",

"11912","05/30/25","PRMT","11912.2","37562","150.00","0.00","150.00","100.00","","","0.00","0.00","","150.00","100.00","6362","CONCRETE TECHNOLOGIES INC.","JEFF","","","","","","1","RACCOON RIVER GREENWAY","WEST DES MOINES","IA",
"11912","05/30/25","MONMNT","11912.3","37539A","21860.00","17011.42","4848.58","22.18","","","14556.09","21718.43","32.98","21860.00","33.41","6362","CONCRETE TECHNOLOGIES INC.","JEFF","","","","","","1","RACCOON RIVER GREENWAY","WEST DES MOINES","IA",
"11912","","","Invoice Totals","","22010.00","17011.42","4998.58","22.71","0.00","0.00","14556.09","21718.43","32.98","22010.00","33.87","6362","CONCRETE TECHNOLOGIES INC.","JEFF","","","","","",

"11945","05/30/25","PRMT","11945.2","37801","0.00","0.00","0.00","","","","0.00","0.00","","150.00","100.00","6275","IOWA TRUST & SAVINGS BANK","JEFF","","","","","","DEFAULT","Iowa Trust & Savings Bank","Sac City","IA",
"11945","05/30/25","CHANNL","11945.4","38147","7784.00","3300.10","4483.90","57.60","","","4458.22","7729.92","42.33","7784.00","42.73","6275","IOWA TRUST & SAVINGS BANK","JEFF","","","","","","DEFAULT","Iowa Trust & Savings Bank","Sac City","IA",
"11945","05/30/25","CHANNL","11945.5","38148","7784.00","3577.64","4206.36","54.04","","","4458.22","7729.92","42.33","7784.00","42.73","6275","IOWA TRUST & SAVINGS BANK","JEFF","","","","","","DEFAULT","Iowa Trust & Savings Bank","Sac City","IA",
"11945","05/30/25","CHANNL","11945.7","39062","1153.00","1095.60","57.40","4.98","","","632.95","1170.97","45.95","1153.00","45.10","6275","IOWA TRUST & SAVINGS BANK","JEFF","","","","","","DEFAULT","Iowa Trust & Savings Bank","Sac City","IA",
"11945","05/30/25","WARMFG","11945.9","","0.00","517.86","-517.86","","","","","","","","","6275","IOWA TRUST & SAVINGS BANK","JEFF","","","","","","DEFAULT","Iowa Trust & Savings Bank","Sac City","IA",
"11945","","","Invoice Totals","","16721.00","8491.20","8229.80","49.22","0.00","0.00","9549.39","16630.81","42.58","16871.00","43.40","6275","IOWA TRUST & SAVINGS BANK","JEFF","","","","","",

"11945-2","07/10/25","MONMNT","11945.3","37930","53215.40","37151.79","16063.61","30.19","","","36893.66","50971.75","27.62","53215.40","30.67","6275","IOWA TRUST & SAVINGS BANK","JEFF","","","","","","DEFAULT","Iowa Trust & Savings Bank","Sac City","IA",
"11945-2","07/10/25","INSTL","11945.8","","440.00","1804.89","-1364.89","-310.20","","","","","","","","6275","IOWA TRUST & SAVINGS BANK","JEFF","","","","","","DEFAULT","Iowa Trust & Savings Bank","Sac City","IA",
"11945-2","","","Invoice Totals","","53655.40","38956.68","14698.72","27.39","0.00","0.00","36893.66","50971.75","27.62","53215.40","30.67","6275","IOWA TRUST & SAVINGS BANK","JEFF","","","","","",

"11992","01/17/25","MONMNT","11992.1","37889","17210.81","10081.84","7128.97","41.42","","","9712.51","17210.81","43.57","","","3154","EDGE COMMERCIAL","JOEP","","","","","","10","CITY OF URBANDALE TYPE B-2 ENTRANCE SIGN","URBANDALE","IA",
"11992","","","Invoice Totals","","17210.81","10081.84","7128.97","41.42","0.00","0.00","9712.51","17210.81","43.57","","","3154","EDGE COMMERCIAL","JOEP","","","","","",

"11995","01/31/25","SURVEY","11995.2","37756","400.00","0.00","400.00","100.00","","","257.40","411.84","37.50","400.00","35.65","3010","PATTISONID","JOEP","","","","","","25","PORSCHE OF WEST DES MOINES - PATTISON","WEST DES MOINES","IA",
"11995","","","Invoice Totals","","400.00","0.00","400.00","100.00","0.00","0.00","257.40","411.84","37.50","400.00","35.65","3010","PATTISONID","JOEP","","","","","",

"11995-2","05/29/25","PRMT","11995.1","37755","150.00","111.89","38.11","25.41","627.42","","0.00","0.00","","150.00","100.00","3010","PATTISONID","JOEP","","","","","","25","PORSCHE OF WEST DES MOINES - PATTISON","WEST DES MOINES","IA",
"11995-2","05/29/25","INSTL","11995.3","37758","10260.00","4855.00","5405.00","52.68","","","7135.40","9807.74","27.25","10260.00","30.45","3010","PATTISONID","JOEP","","","","","","25","PORSCHE OF WEST DES MOINES - PATTISON","WEST DES MOINES","IA",
"11995-2","05/29/25","INSTL","11995.4","37759","7253.00","2115.49","5137.51","70.83","","","4183.30","7058.96","40.74","7253.00","42.32","3010","PATTISONID","JOEP","","","","","","25","PORSCHE OF WEST DES MOINES - PATTISON","WEST DES MOINES","IA",
"11995-2","05/29/25","INSTL","11995.5","","0.00","568.51","-568.51","","","","","","","","","3010","PATTISONID","JOEP","","","","","","25","PORSCHE OF WEST DES MOINES - PATTISON","WEST DES MOINES","IA",
"11995-2","05/29/25","INSTL","11995.6","","0.00","885.50","-885.50","","","","","","","","","3010","PATTISONID","JOEP","","","","","","25","PORSCHE OF WEST DES MOINES - PATTISON","WEST DES MOINES","IA",
"11995-2","05/29/25","MISC","11995.7","39075","936.00","260.46","675.54","72.17","","","46.85","75.31","37.79","78.00","39.94","3010","PATTISONID","JOEP","","","","","","25","PORSCHE OF WEST DES MOINES - PATTISON","WEST DES MOINES","IA",
"11995-2","05/29/25","MISC","11995.10","","300.00","0.00","300.00","100.00","","","","","","","","3010","PATTISONID","JOEP","","","","","","25","PORSCHE OF WEST DES MOINES - PATTISON","WEST DES MOINES","IA",
"11995-2","","","Invoice Totals","","18899.00","8796.85","10102.15","53.45","627.42","0.00","11365.55","16942.01","32.91","17741.00","35.94","3010","PATTISONID","JOEP","","","","","",

"12012","01/08/25","CHANNL","12012.1","38015","10321.46","5918.06","4403.40","42.66","165.00","741.96","5697.26","10321.46","44.80","","","37100","DREES CO.","JEFF","","","","","","1","Drees Company - Ecowater Systems","Carroll","IA",
"12012","01/08/25","PRMT","12012.2","38103","0.00","0.00","0.00","","","","0.00","0.00","","150.00","100.00","37100","DREES CO.","JEFF","","","","","","1","Drees Company - Ecowater Systems","Carroll","IA",
"12012","01/08/25","VINYL","12012.3","","128.00","104.83","23.17","18.10","","","","","","","","37100","DREES CO.","JEFF","","","","","","1","Drees Company - Ecowater Systems","Carroll","IA",
"12012","","","Invoice Totals","","10449.46","6022.89","4426.57","42.36","165.00","741.96","5697.26","10321.46","44.80","150.00","-3698.17","37100","DREES CO.","JEFF","","","","","",

"12033-3","03/10/25","OUTS","12033.1","38053","13853.28","10640.00","3213.28","23.20","","","10640.00","13853.28","23.20","","","6288","POLK COUNTY AVIATION AUTHORITY","JEFF","","","","","","DEFAULT","Ankeny Regional Airport","Ankeny","IA",
"12033-3","","","Invoice Totals","","13853.28","10640.00","3213.28","23.20","0.00","0.00","10640.00","13853.28","23.20","","","6288","POLK COUNTY AVIATION AUTHORITY","JEFF","","","","","",

"12067","11/15/25","CHANNL","12067.1","37966A","88919.82","36511.20","52408.62","58.94","768.73","25249.76","48352.88","88919.82","45.62","","","6230","EMC INSURANCE GROUP","JEFF","","","","","","DEFAULT","EMC Insurance Group","Des Moines","IA",
"12067","11/15/25","PRMT","12067.3","38837","0.00","714.38","-714.38","","","","0.00","0.00","","200.00","100.00","6230","EMC INSURANCE GROUP","JEFF","","","","","","DEFAULT","EMC Insurance Group","Des Moines","IA",
"12067","11/15/25","INSTL","12067.4","37967C","271791.06","80324.42","191466.64","70.45","","","182876.11","271791.06","32.71","","","6230","EMC INSURANCE GROUP","JEFF","","","","","","DEFAULT","EMC Insurance Group","Des Moines","IA",
"12067","","","Invoice Totals","","360710.88","117550.00","243160.88","67.41","768.73","25249.76","231228.99","360710.88","35.90","200.00","-115514.50","6230","EMC INSURANCE GROUP","JEFF","","","","","",

"12073","04/05/25","MONMNT","12073.1","37829","17820.10","15246.05","2574.05","14.44","320.96","1944.37","10937.32","17820.10","38.62","","","6292","J&M COMMERCIAL HOLDINGS LLC","JEFF","","","","","","1","Grand Woods Office Park","West Des Moines","IA",
"12073","04/05/25","PRMT","12073.2","38003","0.00","47.29","-47.29","","","","0.00","0.00","","150.00","100.00","6292","J&M COMMERCIAL HOLDINGS LLC","JEFF","","","","","","1","Grand Woods Office Park","West Des Moines","IA",
"12073","04/05/25","MONMNT","12073.3","38295","9956.59","3081.99","6874.60","69.05","","","5368.55","9956.59","46.08","","","6292","J&M COMMERCIAL HOLDINGS LLC","JEFF","","","","","","1","Grand Woods Office Park","West Des Moines","IA",
"12073","","","Invoice Totals","","27776.69","18375.33","9401.36","33.85","320.96","1944.37","16305.87","27776.69","41.30","150.00","-10770.58","6292","J&M COMMERCIAL HOLDINGS LLC","JEFF","","","","","",

"12079","03/06/25","INSTL","12079.1","37921","1508.90","6166.72","-4657.82","-308.69","210.00","1877.26","949.00","1508.90","37.11","","","6294","NEBRASKA FURNITURE MART","JEFF","","","","","","DEFAULT","Nebraska Furniture Mart","Clive","IA",
"12079","03/06/25","INSTL","12079.2","37922","941.82","450.88","490.94","52.13","","","591.50","941.82","37.20","","","6294","NEBRASKA FURNITURE MART","JEFF","","","","","","DEFAULT","Nebraska Furniture Mart","Clive","IA",
"12079","03/06/25","INSTL","12079.3","37923","941.82","176.98","764.84","81.21","","","591.50","941.82","37.20","","","6294","NEBRASKA FURNITURE MART","JEFF","","","","","","DEFAULT","Nebraska Furniture Mart","Clive","IA",
"12079","03/06/25","OUTS","12079.4","37924A","4050.00","4236.84","-186.84","-4.61","","","1500.00","2025.00","25.93","","","6294","NEBRASKA FURNITURE MART","JEFF","","","","","","DEFAULT","Nebraska Furniture Mart","Clive","IA",
"12079","03/06/25","MONMNT","12079.5","37925","1896.00","1775.41","120.59","6.36","","","1046.28","1896.00","44.82","","","6294","NEBRASKA FURNITURE MART","JEFF","","","","","","DEFAULT","Nebraska Furniture Mart","Clive","IA",
"12079","03/06/25","INSTL","12079.6","37925A","321.92","22.22","299.70","93.10","","","217.42","321.92","32.46","","","6294","NEBRASKA FURNITURE MART","JEFF","","","","","","DEFAULT","Nebraska Furniture Mart","Clive","IA",
"12079","03/06/25","MONMNT","12079.7","37926","1713.50","1483.86","229.64","13.40","","","945.45","1713.50","44.82","","","6294","NEBRASKA FURNITURE MART","JEFF","","","","","","DEFAULT","Nebraska Furniture Mart","Clive","IA",
"12079","03/06/25","INSTL","12079.8","37926A","321.92","19.54","302.38","93.93","","","217.42","321.92","32.46","","","6294","NEBRASKA FURNITURE MART","JEFF","","","","","","DEFAULT","Nebraska Furniture Mart","Clive","IA",
"12079","03/06/25","BLDG","12079.9","37927","5162.03","6273.86","-1111.83","-21.54","","","2886.52","5162.03","44.08","","","6294","NEBRASKA FURNITURE MART","JEFF","","","","","","DEFAULT","Nebraska Furniture Mart","Clive","IA",
"12079","03/06/25","BLDG","12079.10","37928A","9960.10","5157.91","4802.19","48.21","","","5552.63","9960.10","44.25","","","6294","NEBRASKA FURNITURE MART","JEFF","","","","","","DEFAULT","Nebraska Furniture Mart","Clive","IA",
"12079","","","Invoice Totals","","26818.01","25764.22","1053.79","3.93","210.00","1877.26","14497.72","24793.01","41.52","","","6294","NEBRASKA FURNITURE MART","JEFF","","","","","",

"12101","10/29/25","BLDG","12101.2","38093","78061.25","34304.87","43756.38","56.05","1293.02","5770.10","46052.43","78061.25","41.00","","","6298","TEAM DENOVO","JEFF","","","","","","1","Valley Church","West Des Moines","IA",
"12101","10/29/25","PRMT","12101.3","38094","0.00","0.00","0.00","","","","0.00","0.00","","150.00","100.00","6298","TEAM DENOVO","JEFF","","","","","","1","Valley Church","West Des Moines","IA",
"12101","10/29/25","INT","12101.4","39124","1540.26","625.06","915.20","59.42","","","1017.41","1540.26","33.95","","","6298","TEAM DENOVO","JEFF","","","","","","1","Valley Church","West Des Moines","IA",
"12101","10/29/25","PRMT","12101.6","39244","0.00","48.73","-48.73","","","","0.00","0.00","","150.00","100.00","6298","TEAM DENOVO","JEFF","","","","","","1","Valley Church","West Des Moines","IA",
"12101","10/29/25","CHANNL","12101.7","39482","17449.39","4402.66","13046.73","74.77","","","9310.44","17449.39","46.64","","","6298","TEAM DENOVO","JEFF","","","","","","1","Valley Church","West Des Moines","IA",
"12101","10/29/25","CHANNL","12101.8","39484","1414.25","570.16","844.09","59.68","","","809.18","1414.25","42.78","","","6298","TEAM DENOVO","JEFF","","","","","","1","Valley Church","West Des Moines","IA",
"12101","10/29/25","CHANNL","12101.9","39485","1414.25","453.87","960.38","67.91","","","809.18","1414.25","42.78","","","6298","TEAM DENOVO","JEFF","","","","","","1","Valley Church","West Des Moines","IA",
"12101","10/29/25","PRMT","12101.10","39741","0.00","97.46","-97.46","","","","0.00","0.00","","150.00","100.00","6298","TEAM DENOVO","JEFF","","","","","","1","Valley Church","West Des Moines","IA",
"12101","10/29/25","MISC","12101.11","","0.00","591.62","-591.62","","","","","","","","","6298","TEAM DENOVO","JEFF","","","","","","1","Valley Church","West Des Moines","IA",
"12101","","","Invoice Totals","","99879.40","41094.43","58784.97","58.86","1293.02","5770.10","57998.64","99879.40","41.93","450.00","-12788.59","6298","TEAM DENOVO","JEFF","","","","","",

"12119","10/31/25","DRCT","12119.2","38303","8625.09","14197.20","-5572.11","-64.60","","","6821.81","10673.09","36.08","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.3","38303B","4035.14","5654.45","-1619.31","-40.13","","","4924.29","6621.33","25.63","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.4","38304","11756.17","3219.98","8536.19","72.61","","","9450.20","13490.17","29.95","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.5","38304B","1637.30","2999.26","-1361.96","-83.18","","","1016.19","1637.30","37.94","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.6","38306","12532.28","4844.35","7687.93","61.35","","","4682.19","6266.14","25.28","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.8","38307","8625.09","8221.86","403.23","4.68","","","6556.55","10277.37","36.20","10313.79","36.43","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.9","38307B","1637.30","2360.69","-723.39","-44.18","","","922.79","1600.88","42.36","1637.30","43.64","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.10","38308","6266.14","2011.45","4254.69","67.90","","","4682.19","6266.14","25.28","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.11","38308B","1535.68","1527.73","7.95","0.52","","","908.39","1535.68","40.85","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.12","38453","506.84","442.51","64.33","12.69","","","138.94","253.42","45.17","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.13","38453B","352.38","301.03","51.35","14.57","","","78.73","122.30","35.63","176.19","55.32","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.14","38454","506.84","528.61","-21.77","-4.30","","","138.94","253.42","45.17","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.15","38454B","352.38","323.22","29.16","8.28","","","78.73","122.30","35.63","176.19","55.32","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.16","38455","506.84","435.91","70.93","13.99","","","138.94","253.42","45.17","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.17","38455B","352.38","136.71","215.67","61.20","","","78.73","122.30","35.63","176.19","55.32","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.18","38456","760.26","440.44","319.82","42.07","","","138.94","253.42","45.17","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.19","38456B","528.57","374.70","153.87","29.11","","","78.73","122.30","35.63","176.19","55.32","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.20","38457","506.84","453.66","53.18","10.49","","","138.94","253.42","45.17","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.21","38457B","352.38","263.42","88.96","25.25","","","78.73","122.30","35.63","176.19","55.32","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.22","38458","1013.68","474.30","539.38","53.21","","","138.94","253.42","45.17","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.23","38458B","704.76","483.55","221.21","31.39","","","78.73","122.30","35.63","176.19","55.32","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.24","38459","506.84","422.17","84.67","16.71","","","138.94","253.42","45.17","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.26","38460","506.84","355.51","151.33","29.86","","","138.94","253.42","45.17","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","DRCT","12119.27","38460B","352.38","409.43","-57.05","-16.19","","","78.73","122.30","35.63","176.19","55.32","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","INSTL","12119.28","38311","990.09","0.00","990.09","100.00","","","542.82","990.09","45.17","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","01","12119.30","","0.00","326.74","-326.74","","","","","","","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
"12119","10/31/25","01","12119.31","","0.00","104.19","-104.19","","","","","","","","","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","JEFF","","","","","","DEFAULT","City of Des Moines/ Purchasing Division/ Department of Finance","Des Moines","IA",
