Prod Type,description,Count,Gross Sales (Total),Total Cost (Total),gross_margin,gm_pct,source_tier,source_file,ingested_at
ELMSTT,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=ELMSTT' target='_blank'>ELECTRONIC SIGNS</a>,123,"2,647,036.54","1,898,022.76",749013.78,28.3,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
NEON,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=NEON' target='_blank'>NEON SIGNAGE</a>,140,"88,034.86","65,228.11",22806.75,25.9,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
SURVEY,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=SURVEY' target='_blank'>SURVEY</a>,821,"193,006.07","146,311.53",46694.54,24.2,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
SRVCE,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=SRVCE' target='_blank'>SERVICE</a>,"7,021","2,621,787.35","2,001,443.22",620344.13,23.7,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
WARART,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=WARART' target='_blank'>WARRANTY - ART</a>,7,0.00,"2,363.49",,0.0,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
WARFRA,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=WARFRA' target='_blank'>WARRANTY - FRANCHISE</a>,7,0.00,"3,513.29",,0.0,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
WARINT,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=WARINT' target='_blank'>WARRANTY - INTERCOMPANY</a>,7,0.00,"2,010.19",,0.0,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
PRMT,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=PRMT' target='_blank'>PERMITTING</a>,"1,291","161,322.69","197,096.83",,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
WARMFG,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=WARMFG' target='_blank'>WARRANTY - MANUFACTURING</a>,94,"1,342.06","39,633.64",,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
WARVIN,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=WARVIN' target='_blank'>WARRANTY - VINYL</a>,31,180.00,"17,192.74",,,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
