wo_number,customer_id,customer_name,location,total_material_cost,total_labor_cost,total_burden_cost,total_outplant_cost,total_use_tax,total_cost,quoted_price,sale_price,billing,gross_margin,gm_pct,sales_code,use_tax_code,estimator,quote_nbr,date_completed,status,sign_type,price_class_code,description,part_number,source_tier,source_file
10034.2,5766,GRIMES CHIROPRACTIC,"GRIMES, IA",118.39,72.75,67.66,0.0,0.0,258.8,431.12,,431.12,172.32,39.97,MONMNT,IA77O7,Adam Fasselius,30959,2021-02-05,Fin Closed,MONDF,,"@30959 / TENANT PANELS: Fabricate and install (2) new white polycarbonate tenant panels with the copy ""GRIMES CHIROPRACTIC"" using a standard vinyl color. Reference Eagle sketch 1220-30959-00.",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.3,5766,GRIMES CHIROPRACTIC,"GRIMES, IA",222.46,80.63,74.99,0.0,0.0,378.08,987.3,,987.3,609.22,61.71,VINYL,IA77O7,Adam Fasselius,30995,2021-02-05,Fin Closed,VINYL,,"@30995 / PERFORATED VINYL: Furnish and apply second surface perforated white vinyl across the top transom windows ""GRIMES CHIROPRACTIC"" Reference Eagle sketch 1220-30995-00.",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.4,5766,GRIMES CHIROPRACTIC,"GRIMES, IA",0.0,46.25,43.01,0.0,0.0,89.26,488.16,,,,,SRVCE,IA77O7,Adam Fasselius,30997,2021-02-05,Fin Closed,CLLIT,,"@30997 / REMOVALS: Remove and properly dispose of ""Lifestream"" channel letters on a raceway. The ""Chiropractic"" channel letters on a raceway remain. Remove (2) existing blank white polycarbonate tenant panels and leave with tenant. Remove second surface vinyl from transom windows.",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.5,5766,GRIMES CHIROPRACTIC,"GRIMES, IA",0.0,10.5,9.77,0.0,0.0,20.27,135.0,,,,,PRMT,IA77O7,Adam Fasselius,30998,2021-02-05,Fin Closed,CLLIT,,@30998 / Staff time for permitting.,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.6,5766,GRIMES CHIROPRACTIC,"GRIMES, IA",9.49,25.13,37.32,0.0,0.0,71.94,140.65,,140.65,68.71,48.85,VINYL,IA77O7,Adam Fasselius,31033,2021-02-05,Fin Closed,VINYL,,@31033 / Furnish and install white first surface business logo and hours on door glass. Reference Eagle sketch 1220-31033-01. Temperatures must be in the 40´s to install.,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.7,5766,GRIMES CHIROPRACTIC,"GRIMES, IA",498.66,356.38,331.44,112.5,0.0,1298.98,3060.49,,3060.49,1761.51,57.56,CHANNL,IA77O7,Adam Fasselius,31042,2021-02-05,Fin Closed,CLLIT,,"@31042 / Fabricate and install a new set of LED illuminated ""Chiropractic"" letters on raceway. Red faces, black trim cap and black returns. Reference Eagle sketch 0121-31042-00.",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.8,5766,GRIMES CHIROPRACTIC,"GRIMES, IA",0.0,50.88,94.64,0.0,0.0,145.52,,,,,,VINYL,IA77O7,,,2021-02-23,Fin Closed,,TM - Time & Materials,@vinyl / miscellaneous time for removal and install of perf vinyl previously billed.,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10035.1,5767,VETERINARY MEDICAL ASSOCIATES,"PERRY, IA",0.0,43.25,79.64,0.0,0.0,122.89,325.0,,325.0,202.11,62.19,SURVEY,IA25O7,Adam Fasselius,31000,2021-01-12,Fin Closed,POLLIT,,@31000 / Survey Sign - pole sign was hit by a car and has some damage - need sizes for faces/cabinets and information for what needs to be done to fix,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10036.1,2535,ATLAS SIGN INDUSTRIES,"JOHNSTON, IA",0.0,62.13,114.22,0.0,0.0,176.35,250.0,,250.0,73.65,29.46,SURVEY,RESALE,Adam Fasselius,31002,2021-01-05,Fin Closed,MONDF,,"@31002 / Site Survey - Need photos of existing signs, ground sign panels and interior office space for wall sign/FCOs",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10037.1,18600,CAT SCALE,"WALCOTT, IA",1958.06,273.0,253.9,0.0,0.0,2484.96,,,6974.0,4489.04,64.37,MISC,IA77O7,,,2020-12-30,Fin Closed,,TM - Time & Materials,@tm / Provide (2) sets of 5x20 sign faces. Ship to Walcott.,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10038.1,18600,CAT SCALE,"WALCOTT, IA",977.59,397.14,369.38,0.0,0.0,1744.11,,,2762.65,1018.54,36.87,PYLON,IA77O7,,31025,2021-01-18,Fin Closed,POLLIT,,@31025 / (10) Sets of bottom c-covers (6 pieces ea),,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10038.2,18600,CAT SCALE,"WALCOTT, IA",13416.54,263.13,244.74,0.0,0.0,13924.41,1865.37,,18653.7,4729.29,25.35,PYLON,IA77O7,,31026,2021-01-18,Fin Closed,POLLIT,,"@31026 / (10) 5x20 LED conversion kits (5´ Hanley Concord 4500 LEDs [2´, 3´] sections´, 15´ wire whips, and power supplies). All misc screws, eyelets, wire nuts, bushings are included. All items items are packaged in a 12"" x 12"" x 5´ box. Speaker parts will also be packaged in box so one box will do one location. Shipping not included",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10038.3,18600,CAT SCALE,"WALCOTT, IA",1339.41,62.25,57.9,0.0,0.0,1459.56,217.35,,2173.5,713.94,32.85,PYLON,IA77O7,,31027,2021-01-18,Fin Closed,POLLIT,,"@31027 / (10) LED conversion kits for intercom sign (3´ Hanley Concord 4500 LEDs, power supplies, wire whips). Note these parts will be placed in same box as the parts for the 5 X 20 signs. Shipping not included",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10038.4,18600,CAT SCALE,"WALCOTT, IA",3379.52,13.5,12.56,0.0,0.0,3405.58,3065.0,,6130.0,2724.42,44.44,PYLON,IA77O7,,31028,2021-01-18,Fin Closed,POLLIT,,@31028 / (2) Sets of poles,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10038.5,18600,CAT SCALE,"WALCOTT, IA",859.73,8.63,8.03,0.0,0.0,876.39,1506.0,,1506.0,629.61,41.81,PYLON,IA77O7,,31029,2021-01-18,Fin Closed,POLLIT,,@31029 / (1) Intercom sign,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10039.1,5769,PRICE CHOPPER,"JOHNSTON, IA",3.8,362.75,673.68,0.0,0.0,1040.23,849.05,,849.05,-191.18,-22.52,INSTL,IA77O7,Adam Fasselius,30894,2021-03-09,Fin Closed,CLLIT,,"@30894 / Remove (1) Set of Channel Letters ""PRICE CHOPPER"" from South Elevation and leave at Site",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10039.2,5769,PRICE CHOPPER,"JOHNSTON, IA",3.8,0.0,0.0,0.0,0.0,3.8,1203.7,,1203.7,1199.9,99.68,INSTL,IA77O7,Adam Fasselius,30895,2021-03-09,Fin Closed,CLLIT,,"@30895 / Remove (1) Set of Channel Letters ""PRICE CHOPPER"" from East Elevation and leave at Site",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10039.3,5769,PRICE CHOPPER,"JOHNSTON, IA",0.0,0.0,0.0,0.0,0.0,0.0,202.11,,202.11,202.11,100.0,INSTL,IA77O7,Adam Fasselius,30919,2021-03-09,Fin Closed,MONSF,,@30919 / Flip panel in existing monument sign so that it no longer shows the Price Chopper name/logo,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10040.1,77950,"NAGLE SIGNS, INC.","ALTOONA, IA",24.08,72.25,133.13,0.0,0.0,229.46,,,285.1,55.64,19.52,MISC,RESALE,,,2021-01-07,Fin Closed,,TM - Time & Materials,@tm / Install (10) prepay only signs on canopy posts. Signs furnished by Nagle Signs.,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10041.1,77950,"NAGLE SIGNS, INC.","ANKENY, IA",0.0,98.38,181.38,0.0,0.0,279.76,,,330.0,50.24,15.22,MISC,RESALE,,,2021-01-08,Fin Closed,,TM - Time & Materials,@tm / Install (10) prepay only signs on canopy posts. Signs furnished by Nagle Signs.,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10042.1,5770,EXEMPLARCARE URGENT CARE,"WEST DES MOINES, IA",0.0,21.0,19.53,0.0,0.0,40.53,135.0,,,,,PRMT,IA25O7,Adam Fasselius,30678,2021-01-28,Fin Closed,CLLIT,,@30678 / Staff time for permitting.,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10042.2,5770,EXEMPLARCARE URGENT CARE,"WEST DES MOINES, IA",1244.32,1354.64,1845.89,1614.43,0.0,6059.28,7244.59,,7244.59,1185.31,16.36,CHANNL,IA25O7,Adam Fasselius,30968A,2021-01-28,Fin Closed,CLLIT,,"@30968A / WEST ELEVATION: Fabricate and install 3"" deep LED illuminated individual/remote channel letters to the west elevation of the building. The channel letters and mark/logo have black trim cap and black returns. The mark/logo has a white face and the black lines are black vinyl. Reference Eagle sketch 1220-30968-01. Power to sign by others. Note 24 electrical holes are in the recess area above the enclosed vent. Sign placement will move as needed so holes are drilled in proper space.",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
