wo_number,customer_id,customer_name,location,total_material_cost,total_labor_cost,total_burden_cost,total_outplant_cost,total_use_tax,total_cost,quoted_price,sale_price,billing,gross_margin,gm_pct,sales_code,use_tax_code,estimator,quote_nbr,date_completed,status,sign_type,price_class_code,description,part_number,source_tier,source_file
10039.1,5769,PRICE CHOPPER,"JOHNSTON, IA",3.8,362.75,673.68,0.0,0.0,1040.23,849.05,,849.05,-191.18,-22.52,INSTL,IA77O7,Adam Fasselius,30894,2021-03-09,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10039.2,5769,PRICE CHOPPER,"JOHNSTON, IA",3.8,0.0,0.0,0.0,0.0,3.8,1203.7,,1203.7,1199.9,99.68,INSTL,IA77O7,Adam Fasselius,30895,2021-03-09,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10039.3,5769,PRICE CHOPPER,"JOHNSTON, IA",0.0,0.0,0.0,0.0,0.0,0.0,202.11,,202.11,202.11,100.0,INSTL,IA77O7,Adam Fasselius,30919,2021-03-09,Fin Closed,MONSF,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10040.1,77950,"NAGLE SIGNS, INC.","ALTOONA, IA",24.08,72.25,133.13,0.0,0.0,229.46,,,285.1,55.64,19.52,MISC,RESALE,,,2021-01-07,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10041.1,77950,"NAGLE SIGNS, INC.","ANKENY, IA",0.0,98.38,181.38,0.0,0.0,279.76,,,330.0,50.24,15.22,MISC,RESALE,,,2021-01-08,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10042.1,5770,EXEMPLARCARE URGENT CARE,"WEST DES MOINES, IA",0.0,21.0,19.53,0.0,0.0,40.53,135.0,,,,,PRMT,IA25O7,Adam Fasselius,30678,2021-01-28,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10042.2,5770,EXEMPLARCARE URGENT CARE,"WEST DES MOINES, IA",1244.32,1354.64,1845.89,1614.43,0.0,6059.28,7244.59,,7244.59,1185.31,16.36,CHANNL,IA25O7,Adam Fasselius,30968A,2021-01-28,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10042.3,5770,EXEMPLARCARE URGENT CARE,"WEST DES MOINES, IA",65.6,53.81,95.62,0.0,0.0,215.03,,,365.05,150.02,41.1,MISC,IA25O7,,,2021-01-28,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10043.1,2535,ATLAS SIGN INDUSTRIES,"CRESTON, IA",0.0,310.63,573.54,0.0,0.0,884.17,746.81,,1493.62,609.45,40.8,INSTL,RESALE,Adam Fasselius,31010,2021-03-09,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10043.2,2535,ATLAS SIGN INDUSTRIES,"CRESTON, IA",0.0,0.0,0.0,0.0,0.0,0.0,135.0,,,,,PRMT,RESALE,Adam Fasselius,31011,2021-03-09,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
