work_code,description,work_dept,source_tier,source_file,ingested_at
340,ELECTRICAL WIRING,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
410,CLEAN AND ETCH,400,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
420,PRIME AND FINISH,400,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
430,SPRAY PAINTING FACES,400,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
510,LAYOUT,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
520,CUT AND/OR WEED VINYL,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
530,PRINTED GRAPHICS,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
550,VINYL APPLICATION,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
605,FOOTING - INSTALLATION,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
610,LOAD/UNLOAD,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
612,INSTALL - NO CRANE,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
615,WIRING - INSTALLATION,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
620,TRAVEL,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
621,DELIVER/MILEAGE,800,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
625,REMOVAL,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
630,1 MAN & TRUCK INSTALL,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
640,2 MEN & TRUCK INSTALL,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
650,3 MEN & TRUCK INSTALL,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
710,LOAD/UNLOAD,700,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
720,SERVICE,700,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
810,travel-see mileage charge,800,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
811,TRAVEL (QUOTING),600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
815,SURVEY,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
820,SERVICE LABOR,700,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
825,SCRAP/JUNK,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
830,DELIVERY,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
5200,CLEAN & MAINTAIN SHOP,5200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
5300,ESTIMATING TIME,5300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
5310,STAFF TIME - PERMITTING,5300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
5320,ADMINSTRATIVE,5300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
9100,ART DEPT OVERTIME,100,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
9200,FABRICATION OVERTIME,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
9300,ELECTRICAL OVERTIME,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
9400,PAINT DEPT OVERTIME,400,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
9500,VINYL DEPT OVERTIME,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
9600,INSTALL OVERTIME 1 MAN,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
9640,2 MEN & TRUCK INSTALL O/T,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
9650,3 MEN 2 TRUCKS O/T,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
9700,SERVICE LABOR - OVERTIME,700,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
9800,OVERTIME TRAVEL,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
9820,LOAD/UNLOAD OVERTIME,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
